,bird_id,n_syls,run
218,pu62w53,6,2
219,pu62w53,5,3
220,pu64w91,13,0
221,pu64w91,13,1
222,pu64w91,14,2
223,pu64w91,12,3
224,pu71w42,8,0
225,pu71w42,8,1
226,pu71w42,7,2
227,pu71w42,9,3
228,r10w46,9,0
229,r10w46,9,1
230,r10w46,10,2
231,r10w46,9,3
232,r22w20,10,0
233,r22w20,11,1
234,r22w20,12,2
235,r22w20,12,3
236,r26w66,7,0
237,r26w66,9,1
238,r26w66,8,2
239,r26w66,7,3
240,r2w49,11,0
241,r2w49,10,1
242,r2w49,13,2
243,r2w49,11,3
244,r34w20,8,0
245,r34w20,9,1
246,r34w20,8,2
247,r34w20,10,3
248,r3w90,16,0
249,r3w90,16,1
250,r3w90,14,2
251,r3w90,17,3
252,r4w53,12,0
253,r4w53,13,1
254,r4w53,11,2
255,r4w53,13,3
256,r62w35,10,0
257,r62w35,10,1
258,r62w35,10,2
259,r62w35,8,3
260,r63w86,12,0
261,r63w86,12,1
262,r63w86,14,2
263,r63w86,12,3
264,r70w90,4,0
265,r70w90,4,1
266,r70w90,4,2
267,r70w90,4,3
268,r77g82,12,0
269,r77g82,9,1
270,r77g82,8,2
271,r77g82,12,3
272,r78w62,15,0
273,r78w62,12,1
274,r78w62,13,2
275,r78w62,12,3
276,r7w75,7,0
277,r7w75,7,1
278,r7w75,7,2
279,r7w75,7,3
280,r88w69,13,0
281,r88w69,12,1
282,r88w69,15,2
283,r88w69,11,3
284,r93w64,13,0
285,r93w64,14,1
286,r93w64,14,2
287,r93w64,12,3
288,r94w47,12,0
289,r94w47,11,1
290,r94w47,11,2
291,r94w47,10,3
292,r95w29,12,0
293,r95w29,12,1
294,r95w29,16,2
295,r95w29,14,3
296,w11pk95,11,0
297,w11pk95,10,1
298,w11pk95,14,2
299,w11pk95,13,3
300,w21pk15,8,0
301,w21pk15,8,1
302,w21pk15,8,2
303,w21pk15,8,3
304,w21pk21,6,0
305,w21pk21,6,1
306,w21pk21,6,2
307,w21pk21,6,3
308,w23pk78,12,0
309,w23pk78,12,1
310,w23pk78,12,2
311,w23pk78,12,3
312,w26pk33,10,0
313,w26pk33,13,1
314,w26pk33,11,2
315,w26pk33,13,3
316,w28pk28,13,0
317,w28pk28,15,1
318,w28pk28,16,2
319,w28pk28,14,3
320,w35pk25,7,0
321,w35pk25,9,1
322,w35pk25,9,2
323,w35pk25,10,3
324,w3pk86,21,0
325,w3pk86,19,1
326,w3pk86,21,2
327,w3pk86,20,3
328,w50pk34,12,0
329,w50pk34,12,1
330,w50pk34,11,2
331,w50pk34,10,3
332,w54pk85,11,0
333,w54pk85,13,1
334,w54pk85,12,2
335,w54pk85,12,3
336,w57pk61,12,0
337,w57pk61,12,1
338,w57pk61,12,2
339,w57pk61,12,3
340,w58pk1,21,0
341,w58pk1,20,1
342,w58pk1,21,2
343,w58pk1,20,3
344,w59pk66,6,0
345,w59pk66,6,1
346,w59pk66,6,2
347,w59pk66,6,3
348,w61pk3,15,0
349,w61pk3,13,1
350,w61pk3,15,2
351,w61pk3,15,3
352,w66pk94,8,0
353,w66pk94,8,1
354,w66pk94,8,2
355,w66pk94,7,3
356,w67pk20,8,0
357,w67pk20,10,1
358,w67pk20,9,2
359,w67pk20,8,3
360,w69pk82,12,0
361,w69pk82,8,1
362,w69pk82,11,2
363,w69pk82,8,3
364,w70pk50,6,0
365,w70pk50,7,1
366,w70pk50,7,2
367,w70pk50,7,3
368,w75pk99,8,0
369,w75pk99,8,1
370,w75pk99,9,2
371,w75pk99,7,3
372,w82pk41,17,0
373,w82pk41,19,1
374,w82pk41,17,2
375,w82pk41,21,3
376,w83pk50,21,0
377,w83pk50,21,1
378,w83pk50,20,2
379,w83pk50,21,3
380,w88pk84,13,0
381,w88pk84,13,1
382,w88pk84,21,2
383,w88pk84,13,3
384,w89pk4,14,0
385,w89pk4,12,1
386,w89pk4,11,2
387,w89pk4,12,3
388,w99pk7,8,0
389,w99pk7,8,1
390,w99pk7,9,2
391,w99pk7,8,3
392,y27y33,5,0
393,y27y33,5,1
394,y27y33,5,2
395,y27y33,5,3
